index,width,height,unique,blur,mean,min,max,stdv,file_size,contrast
0,80,36,66,157.2313,72.7633,0.0000,255.0000,43.3939,570,1.0000
1,80,36,99,1127.0973,148.2379,0.0000,255.0000,93.1517,666,1.0000
2,275,183,256,4337.6406,124.9451,0.0000,255.0000,67.5622,11241,1.0000
3,225,225,256,182.9917,206.8533,0.0000,255.0000,51.5405,4531,1.0000
4,225,225,256,599.5509,182.9986,0.0000,255.0000,62.6262,6327,1.0000
5,225,225,255,106.6954,219.2477,0.0000,255.0000,45.2402,3558,1.0000
6,276,183,256,1566.7343,114.0651,0.0000,255.0000,48.2348,10993,1.0000
7,275,183,256,1542.7869,129.8565,0.0000,255.0000,59.4280,9258,1.0000
8,262,192,256,545.4417,176.1211,0.0000,255.0000,59.7387,4901,1.0000
9,273,184,256,79.3827,220.1252,0.0000,255.0000,38.0603,3568,1.0000
10,224,224,251,283.9546,199.2572,0.0000,255.0000,62.9128,3753,1.0000
11,275,183,256,453.8518,219.4721,0.0000,255.0000,50.2733,4532,1.0000
12,225,225,256,2787.5132,141.2971,0.0000,255.0000,61.3302,11882,1.0000
13,100,100,256,2251.6733,106.5301,0.0000,255.0000,54.0715,4054,1.0000
14,300,168,256,5509.9370,97.5394,0.0000,255.0000,63.4341,10470,1.0000
15,300,168,256,6838.7998,102.7492,0.0000,255.0000,68.4717,14595,1.0000
16,259,194,256,1875.2983,103.5792,0.0000,255.0000,61.8750,8392,1.0000
17,194,259,256,637.1531,141.6972,0.0000,255.0000,60.1669,6483,1.0000
18,259,194,256,1197.3716,84.4930,0.0000,255.0000,61.3077,6751,1.0000
19,158,319,256,6688.3843,157.9104,0.0000,255.0000,58.4789,13782,1.0000
20,259,194,256,4950.8906,130.9979,0.0000,255.0000,60.7631,11346,1.0000
21,259,195,256,3230.3018,152.4710,0.0000,255.0000,45.0750,8841,1.0000
22,299,168,256,2903.0547,119.9923,0.0000,255.0000,48.2520,10781,1.0000
23,275,183,256,6143.5151,131.8804,0.0000,255.0000,73.5556,13219,1.0000
24,299,169,256,2044.9398,89.4976,0.0000,255.0000,72.8832,9279,1.0000
25,225,225,256,4510.9404,103.2090,0.0000,255.0000,61.1660,13202,1.0000
26,183,275,256,3515.7520,126.5508,0.0000,255.0000,65.1417,8404,1.0000
27,275,183,256,4334.5195,87.1872,0.0000,255.0000,58.7417,12193,1.0000
28,170,297,256,5855.5264,152.4887,0.0000,255.0000,73.5049,13138,1.0000
29,253,199,256,5913.7300,117.3689,0.0000,255.0000,52.3992,15114,1.0000
30,225,225,256,1033.8218,197.3439,0.0000,255.0000,74.8700,4870,1.0000
31,275,183,256,1939.0198,135.7880,0.0000,255.0000,63.3097,9915,1.0000
32,275,183,256,3401.7808,89.9180,0.0000,255.0000,48.7865,9756,1.0000
33,278,181,256,4871.2964,83.5600,0.0000,255.0000,56.6045,13548,1.0000
34,262,192,256,4561.3784,125.9348,0.0000,255.0000,76.8146,12945,1.0000
35,262,193,256,3853.1199,115.1434,0.0000,255.0000,66.1103,11839,1.0000
36,173,280,256,5459.3135,124.2550,0.0000,255.0000,67.5464,11848,1.0000
37,265,190,256,4294.5938,119.8170,0.0000,255.0000,66.0670,12292,1.0000
38,177,285,256,3424.8809,99.8564,0.0000,255.0000,67.7283,11514,1.0000
39,275,183,256,2392.4292,81.2015,0.0000,255.0000,47.7704,10035,1.0000
40,265,190,256,3054.2090,117.1682,0.0000,255.0000,67.9287,11823,1.0000
41,183,275,256,11022.7930,105.8041,0.0000,255.0000,66.1511,15657,1.0000
42,274,184,256,2954.4329,85.7486,0.0000,255.0000,66.5267,9821,1.0000
43,174,290,256,4937.5776,94.7706,0.0000,255.0000,52.0720,13139,1.0000
44,275,183,256,3247.2698,80.5951,0.0000,255.0000,55.0953,12052,1.0000
45,183,275,256,1955.2882,110.4033,0.0000,255.0000,58.3937,9209,1.0000
46,262,192,256,4391.7393,85.7557,0.0000,255.0000,56.4074,11089,1.0000
47,265,190,256,1595.9601,89.7109,0.0000,255.0000,64.3202,9153,1.0000
48,177,285,256,3029.7595,77.6105,0.0000,255.0000,53.2464,12017,1.0000
49,275,183,256,6548.7656,105.7515,0.0000,255.0000,57.3721,13478,1.0000
50,183,275,256,2549.7690,104.5200,0.0000,255.0000,64.6595,11031,1.0000
51,265,190,256,2001.9651,130.7016,0.0000,255.0000,69.0998,10143,1.0000
52,265,190,256,4294.5938,119.8170,0.0000,255.0000,66.0670,12292,1.0000
53,265,190,256,3054.2090,117.1682,0.0000,255.0000,67.9287,11823,1.0000
54,265,190,256,2001.9651,130.7016,0.0000,255.0000,69.0998,10143,1.0000
55,265,190,256,2050.3418,79.0452,0.0000,255.0000,76.9841,7604,1.0000
56,173,280,256,5459.3135,124.2550,0.0000,255.0000,67.5464,11848,1.0000
57,262,192,256,1496.4667,105.3805,0.0000,255.0000,73.2660,8043,1.0000
58,250,202,256,2255.9336,136.8067,0.0000,255.0000,61.7133,10757,1.0000
59,283,178,256,3404.4031,123.1220,0.0000,255.0000,69.2880,10597,1.0000
60,265,190,256,4953.0649,128.2806,0.0000,255.0000,63.6447,13277,1.0000
61,265,190,256,1595.9601,89.7109,0.0000,255.0000,64.3202,9153,1.0000
62,265,190,256,1364.4745,95.7720,0.0000,255.0000,69.2631,8412,1.0000
63,275,183,256,3179.6782,106.4832,0.0000,255.0000,72.5273,10203,1.0000
64,300,168,256,727.8749,120.3217,0.0000,255.0000,57.2901,7544,1.0000
65,265,190,256,2599.1487,79.5316,0.0000,255.0000,64.2510,11125,1.0000
66,265,190,256,3832.3103,117.3353,0.0000,255.0000,69.6339,11446,1.0000
67,173,280,256,4766.8945,118.5575,0.0000,255.0000,76.8082,11685,1.0000
68,262,192,256,4561.3784,125.9348,0.0000,255.0000,76.8146,12945,1.0000
69,265,190,256,1604.0782,132.3368,0.0000,255.0000,63.8171,9297,1.0000
70,275,183,256,3212.3062,83.6040,0.0000,255.0000,57.7548,11485,1.0000
71,262,192,256,1907.2184,144.8279,0.0000,255.0000,67.7911,10484,1.0000
72,173,280,256,4091.6736,113.3135,0.0000,255.0000,71.3080,11409,1.0000
73,265,190,256,2001.9651,130.7016,0.0000,255.0000,69.0998,10143,1.0000
74,173,280,256,5459.3135,124.2550,0.0000,255.0000,67.5464,11848,1.0000
75,265,190,256,4294.5938,119.8170,0.0000,255.0000,66.0670,12292,1.0000
76,265,190,256,4090.6892,120.6801,0.0000,255.0000,79.7273,12948,1.0000
77,291,173,256,2342.9038,136.0328,0.0000,255.0000,71.0672,10474,1.0000
78,265,190,256,1595.9601,89.7109,0.0000,255.0000,64.3202,9153,1.0000
79,175,288,256,3554.0310,135.0058,0.0000,255.0000,67.3177,11967,1.0000
80,275,183,256,5649.6309,99.0978,0.0000,255.0000,70.5717,13376,1.0000
81,265,190,256,3487.6812,122.9725,0.0000,255.0000,74.6559,11667,1.0000
82,265,190,256,3986.3066,107.5061,0.0000,255.0000,81.2642,12832,1.0000
83,262,192,256,4561.3784,125.9348,0.0000,255.0000,76.8146,12945,1.0000
84,265,190,256,1884.0203,136.9909,0.0000,255.0000,72.8893,9744,1.0000
85,265,190,256,2904.3123,118.6818,0.0000,255.0000,75.3662,10694,1.0000
86,265,190,256,3037.2112,148.8735,0.0000,255.0000,65.1302,12680,1.0000
87,262,192,256,1459.4384,87.7787,0.0000,255.0000,58.8246,8055,1.0000
88,265,190,256,2441.3320,90.0040,0.0000,255.0000,68.1149,11609,1.0000
89,265,190,256,2599.1487,79.5316,0.0000,255.0000,64.2510,11125,1.0000
90,173,280,256,4766.8945,118.5575,0.0000,255.0000,76.8082,11685,1.0000
91,275,183,256,2070.2581,73.6521,0.0000,255.0000,45.5775,9848,1.0000
92,275,183,256,2934.6943,93.5186,0.0000,255.0000,39.7430,11463,1.0000
93,275,183,256,5946.3721,90.1574,0.0000,255.0000,52.5002,13914,1.0000
94,300,168,256,4798.4575,67.2462,0.0000,255.0000,52.3245,12894,1.0000
95,331,152,256,7402.0176,79.7014,0.0000,255.0000,57.5530,15517,1.0000
96,284,178,256,10157.6377,82.8805,0.0000,255.0000,54.8833,16527,1.0000
97,329,153,256,2504.0725,124.8964,0.0000,255.0000,63.2291,9520,1.0000
98,183,275,256,2269.9570,88.9495,0.0000,255.0000,51.3807,9376,1.0000
99,275,183,256,4865.3887,82.7035,0.0000,255.0000,50.9361,12449,1.0000
100,355,142,256,5082.1533,62.7908,0.0000,255.0000,58.8360,13202,1.0000
101,275,183,256,5222.2026,79.4349,0.0000,255.0000,59.4147,13763,1.0000
102,275,183,256,5691.2607,118.1826,0.0000,255.0000,78.2429,12900,1.0000
103,275,183,256,2725.5195,101.1265,0.0000,255.0000,40.1030,11467,1.0000
104,296,170,256,3269.2500,117.7476,0.0000,255.0000,56.1134,12107,1.0000
105,318,159,256,9818.2324,95.6013,0.0000,255.0000,64.5047,17073,1.0000
106,311,162,256,2268.6335,83.1239,0.0000,255.0000,50.3230,9823,1.0000
107,327,154,256,4776.7007,106.7417,0.0000,255.0000,62.1983,13268,1.0000
108,275,183,256,2407.8577,76.5603,0.0000,255.0000,71.8415,9554,1.0000
109,300,168,256,4798.4575,67.2462,0.0000,255.0000,52.3245,12894,1.0000
110,300,168,256,4589.6143,105.3168,0.0000,255.0000,61.9495,13271,1.0000
111,300,168,256,7462.4717,86.6813,0.0000,255.0000,59.8167,14780,1.0000
112,299,168,256,4121.4951,84.4546,0.0000,255.0000,49.6879,11787,1.0000
113,376,134,256,3628.8882,98.7838,0.0000,255.0000,61.7791,10324,1.0000
114,292,173,256,2099.0938,91.5918,0.0000,255.0000,73.3427,10252,1.0000
115,294,171,256,5534.9810,116.0527,0.0000,255.0000,64.4609,13768,1.0000
116,300,168,256,4530.5205,95.7871,0.0000,255.0000,62.0963,14336,1.0000
117,275,183,254,2771.3884,83.1563,0.0000,255.0000,47.1442,10946,1.0000
118,318,159,256,2997.5300,79.1773,0.0000,255.0000,55.9074,10838,1.0000
119,275,183,256,3947.8088,88.0514,0.0000,255.0000,67.1811,11481,1.0000
120,301,167,256,1701.7991,134.3758,0.0000,255.0000,51.3897,9673,1.0000
121,275,183,256,3544.4678,123.4183,0.0000,255.0000,67.7716,10748,1.0000
122,290,174,256,2928.6641,127.4042,0.0000,255.0000,52.1543,12182,1.0000
123,269,187,256,9796.8740,88.8892,0.0000,255.0000,58.4465,17164,1.0000
124,275,183,256,5868.2075,89.9885,0.0000,255.0000,54.0695,14523,1.0000
125,275,183,256,6241.4312,64.9282,0.0000,255.0000,51.9838,13648,1.0000
126,294,171,256,6384.6509,116.1316,0.0000,255.0000,64.8663,14296,1.0000
127,279,180,256,1761.3805,121.4348,0.0000,255.0000,61.6939,8601,1.0000
128,259,194,256,7686.6904,100.1830,0.0000,255.0000,60.5301,15423,1.0000
129,275,183,256,3044.1023,128.5656,0.0000,255.0000,63.7267,10063,1.0000
130,267,189,256,2171.2229,124.4410,0.0000,255.0000,63.3602,11021,1.0000
131,290,174,256,2928.6641,127.4042,0.0000,255.0000,52.1543,12182,1.0000
132,259,194,256,8407.2197,135.5952,0.0000,255.0000,73.5879,14854,1.0000
133,318,159,256,3095.9890,78.6326,0.0000,255.0000,51.3678,10271,1.0000
134,286,176,256,7067.6948,144.8102,0.0000,255.0000,50.8266,14408,1.0000
135,318,159,256,2997.5300,79.1773,0.0000,255.0000,55.9074,10838,1.0000
136,259,194,256,5882.4258,125.8597,0.0000,255.0000,71.0860,13600,1.0000
137,275,183,256,1390.1953,116.9768,0.0000,255.0000,44.0959,9604,1.0000
138,194,259,256,1486.6627,127.4385,0.0000,255.0000,50.5496,9275,1.0000
139,285,177,256,7011.8335,120.0643,0.0000,255.0000,70.7454,15118,1.0000
140,279,180,256,1761.3805,121.4348,0.0000,255.0000,61.6939,8601,1.0000
141,275,183,256,5879.6787,134.5637,0.0000,255.0000,60.1877,14202,1.0000
142,31,10,236,669.2439,152.7464,0.0000,255.0000,68.5196,502,1.0000
143,294,171,256,6384.6509,116.1316,0.0000,255.0000,64.8663,14296,1.0000
144,300,168,256,6113.2119,140.4938,0.0000,255.0000,78.0223,11659,1.0000
145,276,183,256,5768.2612,125.6982,0.0000,255.0000,63.1958,15062,1.0000
146,204,247,256,2374.3672,138.2715,0.0000,255.0000,65.3307,10781,1.0000
147,300,168,256,2484.4824,131.2823,0.0000,255.0000,60.2870,10745,1.0000
148,286,176,256,4068.5386,109.5398,0.0000,255.0000,61.4835,12457,1.0000
149,300,168,256,3021.7668,108.0929,0.0000,255.0000,61.6198,10943,1.0000
150,267,189,256,2171.2229,124.4410,0.0000,255.0000,63.3602,11021,1.0000
151,285,177,256,3539.0693,132.4807,0.0000,255.0000,79.2671,11883,1.0000
152,300,168,256,1606.5271,73.1765,0.0000,255.0000,52.4805,8251,1.0000
153,318,159,256,1167.0557,156.2982,0.0000,255.0000,68.7160,6790,1.0000
154,385,131,256,3920.4985,90.7966,0.0000,255.0000,52.1743,11632,1.0000
155,299,168,256,8696.7607,134.9750,0.0000,255.0000,74.7523,14262,1.0000
156,312,162,256,1226.9889,76.0681,0.0000,255.0000,42.7797,8795,1.0000
157,275,183,256,2553.9429,128.6506,0.0000,255.0000,62.9268,9753,1.0000
158,285,177,256,406.7230,71.6269,0.0000,255.0000,39.0826,6163,1.0000
159,275,183,255,2317.7144,96.4134,0.0000,255.0000,52.9386,9927,1.0000
160,275,183,256,2774.6155,118.0956,0.0000,255.0000,50.2856,12221,1.0000
161,306,164,256,2970.1997,106.3905,0.0000,255.0000,65.2706,12357,1.0000
162,318,159,256,5858.7725,141.1618,0.0000,255.0000,82.3754,13179,1.0000
163,275,183,256,3044.1023,128.5656,0.0000,255.0000,63.7267,10063,1.0000
164,300,168,256,5728.7646,101.3192,0.0000,255.0000,56.3204,14029,1.0000
165,285,177,256,7011.8335,120.0643,0.0000,255.0000,70.7454,15118,1.0000
166,312,162,256,1712.7607,116.3173,0.0000,255.0000,52.3526,9121,1.0000
167,300,168,256,5518.9976,108.7589,0.0000,255.0000,49.2870,13533,1.0000
168,259,194,256,8407.2197,135.5952,0.0000,255.0000,73.5879,14854,1.0000
169,275,183,256,5010.1479,93.0612,0.0000,255.0000,63.9184,12700,1.0000
170,259,194,256,4822.9531,101.0585,0.0000,255.0000,63.8468,11984,1.0000
171,225,225,256,5917.8760,110.0743,0.0000,255.0000,73.6150,11721,1.0000
172,204,248,256,8673.8936,112.4359,0.0000,255.0000,64.9220,14802,1.0000
173,285,177,256,3539.0693,132.4807,0.0000,255.0000,79.2671,11883,1.0000
174,300,168,256,7929.0522,105.7936,0.0000,255.0000,48.6334,13589,1.0000
175,209,242,256,7658.2236,80.0372,0.0000,255.0000,56.0713,13824,1.0000
176,300,168,256,2007.5050,105.9942,0.0000,255.0000,50.2322,9654,1.0000
177,275,184,256,2884.4429,72.2318,0.0000,255.0000,52.6941,9459,1.0000
178,300,168,256,2947.1406,95.9086,0.0000,255.0000,64.7811,10971,1.0000
179,310,163,256,8306.5918,113.9952,0.0000,255.0000,65.9315,14228,1.0000
180,268,188,256,5160.4243,158.1431,0.0000,255.0000,61.3808,13268,1.0000
181,180,280,256,5381.4980,101.1973,0.0000,255.0000,72.7725,11934,1.0000
182,266,189,256,5834.9844,112.6991,0.0000,255.0000,75.0897,11525,1.0000
183,259,194,256,2620.2959,110.0056,0.0000,255.0000,56.3007,12533,1.0000
184,262,192,256,3958.2668,82.2392,0.0000,255.0000,62.2162,11663,1.0000
185,311,162,256,5396.5591,94.7190,0.0000,255.0000,61.7934,12882,1.0000
186,251,201,256,10938.2979,93.3866,0.0000,255.0000,64.1874,17101,1.0000
187,275,183,256,2071.2080,55.0648,0.0000,255.0000,49.0526,9318,1.0000
188,301,168,256,5811.5850,138.4254,0.0000,255.0000,72.6777,12400,1.0000
189,299,168,256,12460.1865,149.6301,0.0000,255.0000,51.9791,17395,1.0000
190,300,168,256,5728.7646,101.3192,0.0000,255.0000,56.3204,14029,1.0000
191,385,131,256,3920.4985,90.7966,0.0000,255.0000,52.1743,11632,1.0000
192,259,194,256,2316.4939,111.5317,0.0000,255.0000,52.1848,10632,1.0000
193,200,133,255,1075.6647,116.8624,0.0000,255.0000,53.0284,6522,1.0000
194,275,183,255,4927.0181,89.4289,0.0000,255.0000,52.2689,13402,1.0000
195,275,183,256,4213.4131,107.8522,0.0000,255.0000,66.4555,12276,1.0000
196,314,161,256,2250.4885,127.3241,0.0000,255.0000,64.6601,9770,1.0000
197,225,225,256,2985.0989,128.3842,0.0000,255.0000,64.0144,10715,1.0000
198,225,225,256,3997.0059,124.9339,0.0000,255.0000,68.2172,10657,1.0000
