component_id,mean,sum,count,min,max
1641,3.982140,4.000000,0.995535,0.995535,0.995535
1626,3.909574,4.000000,0.977394,0.977394,0.977394
1623,3.913857,4.000000,0.978464,0.978464,0.978464
1617,3.987736,4.000000,0.996934,0.996934,0.996934
1601,3.973634,4.000000,0.993409,0.993409,0.993409
1597,3.989628,4.000000,0.997407,0.997407,0.997407
1587,11.703881,12.000000,0.975323,0.964680,0.993564
1586,3.975551,4.000000,0.993888,0.993888,0.993888
1583,3.967198,4.000000,0.991800,0.991800,0.991800
1567,11.846113,12.000000,0.987176,0.985251,0.988583
1557,11.858605,12.000000,0.988217,0.981647,0.995084
1549,4.000000,4.000000,1.000000,1.000000,1.000000
1548,3.894258,4.000000,0.973565,0.973565,0.973565
1547,4.000000,4.000000,1.000000,1.000000,1.000000
1546,11.945885,12.000000,0.995490,0.993236,1.000000
1544,4.000000,4.000000,1.000000,1.000000,1.000000
1543,4.000000,4.000000,1.000000,1.000000,1.000000
1535,3.989847,4.000000,0.997462,0.997462,0.997462
1531,3.882025,4.000000,0.970506,0.970506,0.970506
1527,4.000000,4.000000,1.000000,1.000000,1.000000
1521,3.945081,4.000000,0.986270,0.986270,0.986270
1505,4.000000,4.000000,1.000000,1.000000,1.000000
1489,4.000000,4.000000,1.000000,1.000000,1.000000
1486,3.994847,4.000000,0.998712,0.998712,0.998712
1478,4.000000,4.000000,1.000000,1.000000,1.000000
1475,4.000000,4.000000,1.000000,1.000000,1.000000
1472,11.999999,12.000000,1.000000,1.000000,1.000000
1468,11.683249,12.000000,0.973604,0.960406,1.000000
1464,3.877362,4.000000,0.969340,0.969340,0.969340
1461,11.996982,12.000000,0.999748,0.999623,1.000000
1456,4.000000,4.000000,1.000000,1.000000,1.000000
1453,4.000000,4.000000,1.000000,1.000000,1.000000
1452,3.986078,4.000000,0.996519,0.996519,0.996519
1450,11.887772,12.000000,0.990648,0.987482,0.996666
1449,11.937573,12.000000,0.994798,0.992197,1.000000
1434,4.000000,4.000000,1.000000,1.000000,1.000000
1415,15.973784,16.000000,0.998362,0.993447,1.000000
1409,3.991771,4.000000,0.997943,0.997943,0.997943
1395,3.925220,4.000000,0.981305,0.981305,0.981305
1394,3.847007,4.000000,0.961752,0.961752,0.961752
1386,4.000000,4.000000,1.000000,1.000000,1.000000
1384,4.000000,4.000000,1.000000,1.000000,1.000000
1375,3.925209,4.000000,0.981302,0.981302,0.981302
1360,11.999999,12.000000,1.000000,1.000000,1.000000
1357,3.955552,4.000000,0.988888,0.988888,0.988888
1356,3.965357,4.000000,0.991339,0.991339,0.991339
1344,12.000000,12.000000,1.000000,1.000000,1.000000
1343,4.000000,4.000000,1.000000,1.000000,1.000000
1326,3.988090,4.000000,0.997022,0.997022,0.997022
1325,4.000000,4.000000,1.000000,1.000000,1.000000
1324,4.000000,4.000000,1.000000,1.000000,1.000000
1298,7.723176,8.000000,0.965397,0.963911,0.966883
1285,3.999999,4.000000,1.000000,1.000000,1.000000
1282,4.000000,4.000000,1.000000,1.000000,1.000000
1281,4.000000,4.000000,1.000000,1.000000,1.000000
1279,4.000000,4.000000,1.000000,1.000000,1.000000
1276,3.999999,4.000000,1.000000,1.000000,1.000000
1273,3.999999,4.000000,1.000000,1.000000,1.000000
1269,4.000000,4.000000,1.000000,1.000000,1.000000
1268,12.000000,12.000000,1.000000,1.000000,1.000000
1266,4.000000,4.000000,1.000000,1.000000,1.000000
1265,4.000000,4.000000,1.000000,1.000000,1.000000
1261,3.999999,4.000000,1.000000,1.000000,1.000000
1260,4.000000,4.000000,1.000000,1.000000,1.000000
1259,4.000000,4.000000,1.000000,1.000000,1.000000
1258,3.999999,4.000000,1.000000,1.000000,1.000000
1256,3.999999,4.000000,1.000000,1.000000,1.000000
1253,4.000000,4.000000,1.000000,1.000000,1.000000
1252,3.999999,4.000000,1.000000,1.000000,1.000000
1251,4.000000,4.000000,1.000000,1.000000,1.000000
1250,4.000000,4.000000,1.000000,1.000000,1.000000
1248,3.992620,4.000000,0.998155,0.998155,0.998155
1247,12.000000,12.000000,1.000000,1.000000,1.000000
1244,4.000000,4.000000,1.000000,1.000000,1.000000
1243,4.000000,4.000000,1.000000,1.000000,1.000000
1237,4.000000,4.000000,1.000000,1.000000,1.000000
1234,3.999999,4.000000,1.000000,1.000000,1.000000
1231,4.000000,4.000000,1.000000,1.000000,1.000000
1229,4.000000,4.000000,1.000000,1.000000,1.000000
1226,11.999999,12.000000,1.000000,1.000000,1.000000
1225,4.000000,4.000000,1.000000,1.000000,1.000000
1213,12.000000,12.000000,1.000000,1.000000,1.000000
1209,3.999999,4.000000,1.000000,1.000000,1.000000
1206,4.000000,4.000000,1.000000,1.000000,1.000000
1205,4.000000,4.000000,1.000000,1.000000,1.000000
1204,15.845021,16.000000,0.990314,0.961256,1.000000
1195,4.000000,4.000000,1.000000,1.000000,1.000000
1192,4.000000,4.000000,1.000000,1.000000,1.000000
1190,11.999999,12.000000,1.000000,1.000000,1.000000
1188,4.000000,4.000000,1.000000,1.000000,1.000000
1186,12.000000,12.000000,1.000000,1.000000,1.000000
1185,4.000000,4.000000,1.000000,1.000000,1.000000
1184,4.000000,4.000000,1.000000,1.000000,1.000000
1183,12.000000,12.000000,1.000000,1.000000,1.000000
1152,3.868760,4.000000,0.967190,0.967190,0.967190
1151,11.716862,12.000000,0.976405,0.964608,1.000000
1149,3.981760,4.000000,0.995440,0.995440,0.995440
1132,3.893610,4.000000,0.973403,0.973403,0.973403
1123,3.853544,4.000000,0.963386,0.963386,0.963386
1113,7.812926,8.000000,0.976616,0.960232,0.992999
1112,3.972855,4.000000,0.993214,0.993214,0.993214
524,4.000000,4.000000,1.000000,1.000000,1.000000
493,3.996839,4.000000,0.999210,0.999210,0.999210
458,11.748446,12.000000,0.979037,0.968556,1.000000
402,3.939540,4.000000,0.984885,0.984885,0.984885
349,3.958897,4.000000,0.989724,0.989724,0.989724
347,13.563545,14.000000,0.968825,0.960418,0.988769
334,4.000000,4.000000,1.000000,1.000000,1.000000
324,15.596597,16.000000,0.974787,0.960798,0.993811
308,11.928184,12.000000,0.994015,0.991023,1.000000
307,3.940980,4.000000,0.985245,0.985245,0.985245
287,3.996973,4.000000,0.999243,0.999243,0.999243
266,3.847608,4.000000,0.961902,0.961902,0.961902
263,3.924087,4.000000,0.981022,0.981022,0.981022
121,3.999999,4.000000,1.000000,1.000000,1.000000
120,3.973784,4.000000,0.993446,0.993446,0.993446
119,11.946105,12.000000,0.995509,0.993263,1.000000
117,3.986588,4.000000,0.996647,0.996647,0.996647
116,3.993577,4.000000,0.998394,0.998394,0.998394
114,3.991634,4.000000,0.997908,0.997908,0.997908
113,11.985956,12.000000,0.998830,0.998245,1.000000
112,4.000000,4.000000,1.000000,1.000000,1.000000
111,19.812683,20.000000,0.990634,0.977333,1.000000
110,23.773232,24.000000,0.990551,0.961947,1.000000
109,4.000000,4.000000,1.000000,1.000000,1.000000
108,21.654310,22.000000,0.984287,0.962739,0.998126
107,3.968370,4.000000,0.992092,0.992092,0.992092
105,15.975738,16.000000,0.998484,0.996967,1.000000
103,29.534826,30.000000,0.984494,0.960483,1.000000
102,15.953655,16.000000,0.997103,0.993537,1.000000
100,11.725350,12.000000,0.977113,0.965689,0.999345
99,23.940296,24.000000,0.997512,0.992144,1.000000
94,3.895680,4.000000,0.973920,0.973920,0.973920
91,3.913229,4.000000,0.978307,0.978307,0.978307
89,15.829913,16.000000,0.989370,0.979246,1.000000
86,3.995753,4.000000,0.998938,0.998938,0.998938
84,11.676737,12.000000,0.973061,0.960615,0.996697
83,3.985399,4.000000,0.996350,0.996350,0.996350
82,3.999999,4.000000,1.000000,1.000000,1.000000
79,4.000000,4.000000,1.000000,1.000000,1.000000
78,3.980917,4.000000,0.995229,0.995229,0.995229
77,15.854636,16.000000,0.990915,0.986732,1.000000
75,11.992593,12.000000,0.999383,0.999074,1.000000
74,11.969121,12.000000,0.997427,0.996140,1.000000
73,3.998031,4.000000,0.999508,0.999508,0.999508
72,3.993993,4.000000,0.998498,0.998498,0.998498
71,3.993959,4.000000,0.998490,0.998490,0.998490
70,3.998484,4.000000,0.999621,0.999621,0.999621
69,11.992252,12.000000,0.999354,0.999032,1.000000
68,19.948887,20.000000,0.997444,0.992829,1.000000
67,3.997078,4.000000,0.999269,0.999269,0.999269
65,15.735744,16.000000,0.983484,0.966112,1.000000
64,11.987967,12.000000,0.998997,0.998496,1.000000
63,11.987494,12.000000,0.998958,0.998437,1.000000
62,3.990036,4.000000,0.997509,0.997509,0.997509
61,4.000000,4.000000,1.000000,1.000000,1.000000
59,4.000000,4.000000,1.000000,1.000000,1.000000
23,3.979616,4.000000,0.994904,0.994904,0.994904
17,3.985467,4.000000,0.996367,0.996367,0.996367
