__id,component_id,sum,count,mean_distance,min_distance,max_distance
0,0,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,0.0000,0.0000,0.0000,0.0000,0.0000
2,2,3.9276,4.0000,0.9819,0.9819,0.9819
3,3,0.0000,0.0000,0.0000,0.0000,0.0000
4,4,0.0000,0.0000,0.0000,0.0000,0.0000
5,5,0.0000,0.0000,0.0000,0.0000,0.0000
6,6,0.0000,0.0000,0.0000,0.0000,0.0000
7,7,0.0000,0.0000,0.0000,0.0000,0.0000
8,8,0.0000,0.0000,0.0000,0.0000,0.0000
9,9,0.0000,0.0000,0.0000,0.0000,0.0000
10,10,0.0000,0.0000,0.0000,0.0000,0.0000
11,11,0.0000,0.0000,0.0000,0.0000,0.0000
12,12,0.0000,0.0000,0.0000,0.0000,0.0000
13,13,7.7410,8.0000,0.9676,0.9632,0.9720
14,14,3.9686,4.0000,0.9922,0.9922,0.9922
15,15,3.9699,4.0000,0.9925,0.9925,0.9925
16,16,15.9827,16.0000,0.9989,0.9978,1.0000
17,17,3.9855,4.0000,0.9964,0.9964,0.9964
18,18,0.0000,0.0000,0.0000,0.0000,0.0000
19,19,0.0000,0.0000,0.0000,0.0000,0.0000
20,20,0.0000,0.0000,0.0000,0.0000,0.0000
21,21,0.0000,0.0000,0.0000,0.0000,0.0000
22,22,0.0000,0.0000,0.0000,0.0000,0.0000
23,23,3.9796,4.0000,0.9949,0.9949,0.9949
24,24,0.0000,0.0000,0.0000,0.0000,0.0000
25,25,0.0000,0.0000,0.0000,0.0000,0.0000
26,26,0.0000,0.0000,0.0000,0.0000,0.0000
27,27,0.0000,0.0000,0.0000,0.0000,0.0000
28,28,0.0000,0.0000,0.0000,0.0000,0.0000
29,29,0.0000,0.0000,0.0000,0.0000,0.0000
30,30,0.0000,0.0000,0.0000,0.0000,0.0000
31,31,3.9890,4.0000,0.9973,0.9973,0.9973
32,32,3.9930,4.0000,0.9982,0.9982,0.9982
33,33,11.9890,12.0000,0.9991,0.9986,1.0000
34,34,12.0000,12.0000,1.0000,1.0000,1.0000
35,35,11.9741,12.0000,0.9978,0.9968,1.0000
36,36,12.0000,12.0000,1.0000,1.0000,1.0000
37,37,12.0000,12.0000,1.0000,1.0000,1.0000
38,38,23.7169,24.0000,0.9882,0.9644,0.9985
39,39,0.0000,0.0000,0.0000,0.0000,0.0000
40,40,11.9918,12.0000,0.9993,0.9990,1.0000
41,41,0.0000,0.0000,0.0000,0.0000,0.0000
42,42,0.0000,0.0000,0.0000,0.0000,0.0000
