from,to,distance
1022,1046,0.719916
1940,184,0.719874
998,993,0.719093
557,320,0.719007
1190,1235,0.718993
1190,23,0.718228
892,895,0.718187
1516,1935,0.718072
1201,2007,0.717948
1972,1959,0.717900
1170,982,0.717413
1952,1700,0.717379
1952,668,0.717379
1363,890,0.717258
971,1086,0.716690
1210,1861,0.716639
1608,2024,0.716594
1491,1126,0.716376
1521,46,0.716165
1316,46,0.716165
1132,1085,0.716141
2137,1491,0.716011
1779,470,0.715836
584,1231,0.715316
1466,1935,0.714881
1384,1068,0.714690
892,786,0.714475
1608,1143,0.714375
1143,1608,0.714375
1239,523,0.714266
1518,621,0.714163
1518,2104,0.714147
1210,1116,0.714141
1756,179,0.713755
21,482,0.713516
1201,1992,0.713438
631,1091,0.713252
998,1200,0.713231
690,653,0.712922
1093,1700,0.712507
695,1054,0.712359
859,586,0.711945
1060,181,0.711659
1030,949,0.711248
949,1030,0.711248
1060,1613,0.711114
524,2159,0.710586
574,576,0.710394
271,907,0.710002
1175,1141,0.709746
2094,435,0.709606
435,2094,0.709606
1227,1433,0.709478
1197,540,0.709349
1972,1214,0.708969
1181,1016,0.708749
1227,1266,0.708055
930,885,0.708040
881,960,0.707401
1193,1131,0.707303
30,523,0.706391
859,1747,0.706367
722,1914,0.705921
722,1768,0.705921
928,954,0.705812
1535,1277,0.705658
1193,844,0.705450
1238,1811,0.704620
631,585,0.704422
2139,590,0.704316
1386,179,0.703911
457,2154,0.703089
608,320,0.703067
1218,1214,0.702916
1648,595,0.702203
881,720,0.701832
301,403,0.701093
1182,1364,0.701073
888,1992,0.701055
524,2101,0.700916
2101,524,0.700916
1940,1492,0.700716
812,264,0.700600
557,471,0.700565
1007,1072,0.700521
1384,1185,0.700385
507,530,0.699791
996,931,0.699551
1926,960,0.699317
21,523,0.698981
1180,1041,0.698910
1281,1833,0.698811
1281,1822,0.698811
888,2007,0.698726
1238,1361,0.698684
1926,1719,0.698283
1027,1202,0.698229
1204,39,0.697700
1790,1321,0.697426
2004,1776,0.697399
2004,2069,0.697399
1186,928,0.697169
812,243,0.696480
1012,958,0.695748
534,586,0.694954
1218,989,0.694346
1204,2165,0.692658
1535,1510,0.692195
598,2165,0.691747
457,2139,0.691231
619,1391,0.691080
903,804,0.690909
1519,1375,0.690681
1519,1474,0.690681
1027,1633,0.690567
1180,959,0.690456
1212,1077,0.690042
1172,2112,0.689296
930,1022,0.688208
1012,998,0.687412
997,1164,0.687306
1793,1795,0.686655
1793,1915,0.686655
501,1219,0.686372
949,1136,0.685933
1136,949,0.685933
996,171,0.685324
313,348,0.685276
971,1638,0.685269
1511,430,0.685037
526,496,0.684876
1206,1466,0.684760
1226,1238,0.684238
501,1484,0.683925
1212,375,0.683473
1186,184,0.682673
1184,171,0.682419
1206,1024,0.682163
1648,210,0.682123
1226,1361,0.682016
551,1172,0.680583
1254,1607,0.680499
814,1254,0.680499
1607,1254,0.680499
315,2141,0.680050
1943,917,0.679874
2181,536,0.679033
1023,1208,0.678918
463,564,0.678565
1175,1116,0.677166
1129,1491,0.674637
1383,49,0.674467
1228,2000,0.674285
2184,524,0.671158
1228,1255,0.671136
435,496,0.670512
271,881,0.669924
788,881,0.667974
1023,1999,0.667712
788,1235,0.666952
529,1352,0.665809
313,1215,0.665603
1182,1704,0.665281
2101,2113,0.664109
2113,2101,0.664109
1110,102,0.662947
529,1239,0.661842
1767,934,0.660959
1767,1768,0.660959
1110,864,0.660136
999,1160,0.658416
1030,1989,0.657657
947,1116,0.656768
947,1674,0.656475
2093,476,0.655941
1078,826,0.655876
1078,1700,0.655876
1927,459,0.655376
1728,1129,0.653639
1554,1129,0.653639
1943,1989,0.650630
551,2165,0.648302
762,852,0.647523
1205,977,0.647215
312,1243,0.646949
2184,2113,0.646439
2113,2184,0.646439
312,15,0.645686
1927,816,0.645149
1729,762,0.644229
1159,855,0.642963
1159,1814,0.642963
314,762,0.640463
1635,611,0.640000
526,867,0.638765
1517,881,0.637140
343,491,0.634880
2093,530,0.633687
1282,1307,0.633402
1307,1282,0.633402
1205,1085,0.631175
1933,271,0.630147
1253,1307,0.628180
1307,1253,0.628180
343,2097,0.627573
999,1208,0.627383
2187,299,0.626943
503,348,0.623270
1933,1466,0.614009
1635,847,0.609657
1282,1383,0.608614
1181,1191,0.608476
1465,540,0.607548
1517,1516,0.607154
1580,2020,0.606959
1702,2020,0.606959
503,1355,0.600115
1169,314,0.598775
2187,298,0.583111
1465,1182,0.581840
1169,2185,0.577836
1253,2185,0.557731
2149,313,0.507367
2149,2125,0.489291
300,2149,0.466083
2186,299,0.452817
2186,175,0.446278
300,299,0.236366
