from,to,distance
1403,1392,1.000000
129,163,1.000000
1336,1463,1.000000
127,140,1.000000
880,734,1.000000
126,143,1.000000
1664,2081,1.000000
1340,1485,1.000000
880,640,1.000000
879,1740,1.000000
122,131,1.000000
879,1887,1.000000
1426,1528,1.000000
1902,1980,1.000000
1463,1336,1.000000
119,250,1.000000
1647,1740,1.000000
118,135,1.000000
1647,1887,1.000000
1896,2058,1.000000
1727,1581,1.000000
140,127,1.000000
1716,1771,1.000000
139,165,1.000000
1461,1427,1.000000
1702,1580,1.000000
1891,2071,1.000000
1647,879,1.000000
135,118,1.000000
1700,668,1.000000
1700,826,1.000000
1329,1506,1.000000
132,168,1.000000
131,122,1.000000
1402,1372,1.000000
1447,1523,1.000000
1350,1421,1.000000
1634,760,1.000000
1634,667,1.000000
663,2147,1.000000
667,1634,1.000000
667,760,1.000000
668,1700,1.000000
668,826,1.000000
1350,1504,1.000000
1636,933,1.000000
1958,2019,1.000000
1351,1458,1.000000
94,109,1.000000
1354,1439,1.000000
1467,1314,1.000000
908,1582,1.000000
643,2035,1.000000
1904,1931,1.000000
1905,2065,1.000000
1907,1973,1.000000
1644,1734,1.000000
640,734,1.000000
640,880,1.000000
1914,1768,1.000000
642,1582,1.000000
642,908,1.000000
1727,2011,1.000000
643,1750,1.000000
109,94,1.000000
1421,1350,1.000000
1421,1504,1.000000
1914,934,1.000000
1915,1795,1.000000
1931,1904,1.000000
1427,1461,1.000000
1854,1765,1.000000
1821,1834,1.000000
1315,1497,1.000000
512,858,1.000000
1851,1744,1.000000
1803,1747,1.000000
934,1768,1.000000
1795,1915,1.000000
2081,1664,1.000000
1047,578,1.000000
173,151,1.000000
1776,2069,1.000000
1049,2122,1.000000
934,1914,1.000000
1771,1716,1.000000
1866,2028,1.000000
933,1636,1.000000
168,132,1.000000
190,164,1.000000
1320,1424,1.000000
1318,1415,1.000000
1318,1514,1.000000
1834,1821,1.000000
191,154,1.000000
1768,934,1.000000
936,1240,1.000000
1452,1529,1.000000
2065,1905,1.000000
1317,1492,1.000000
1315,1407,1.000000
2069,1776,1.000000
2071,1891,1.000000
1887,1740,1.000000
1740,1887,1.000000
1740,879,1.000000
154,191,1.000000
219,341,1.000000
1325,1468,1.000000
151,173,1.000000
1240,936,1.000000
1423,1515,1.000000
1407,1497,1.000000
1734,1644,1.000000
1458,1351,1.000000
1459,1380,1.000000
220,290,1.000000
578,1047,1.000000
143,126,1.000000
1424,1320,1.000000
1768,1914,1.000000
1765,1854,1.000000
165,139,1.000000
1754,1882,1.000000
164,190,1.000000
1750,643,1.000000
163,129,1.000000
1750,2035,1.000000
1314,1467,1.000000
1747,1803,1.000000
1744,1851,1.000000
2058,1896,1.000000
1742,834,1.000000
1882,1754,1.000000
1887,879,1.000000
1416,1500,1.000000
47,78,1.000000
90,67,1.000000
47,61,1.000000
787,1582,1.000000
787,908,1.000000
787,642,1.000000
1537,1431,1.000000
1108,2153,1.000000
834,1742,1.000000
858,512,1.000000
1531,753,1.000000
2020,1556,1.000000
1415,1318,1.000000
1529,1452,1.000000
40,53,1.000000
1473,1406,1.000000
56,36,1.000000
1985,1429,1.000000
1472,1403,1.000000
1429,1985,1.000000
1380,1459,1.000000
53,40,1.000000
1528,1426,1.000000
1545,1444,1.000000
1429,1486,1.000000
1385,1481,1.000000
1542,1408,1.000000
1415,1514,1.000000
2153,1108,1.000000
1506,1329,1.000000
816,2037,1.000000
1408,1542,1.000000
2147,663,1.000000
1504,1421,1.000000
1504,1350,1.000000
1392,1472,1.000000
1478,1389,1.000000
1439,1354,1.000000
2019,1958,1.000000
1500,1416,1.000000
1414,1365,1.000000
826,1700,1.000000
34,68,1.000000
1388,1479,1.000000
1497,1407,1.000000
1497,1315,1.000000
1392,1403,1.000000
1389,1478,1.000000
36,74,1.000000
36,56,1.000000
1523,1447,1.000000
1985,1486,1.000000
34,83,1.000000
826,668,1.000000
1515,1423,1.000000
1514,1318,1.000000
1514,1415,1.000000
2011,1727,1.000000
2011,1581,1.000000
250,119,1.000000
1581,2011,1.000000
1973,1907,1.000000
1582,642,1.000000
78,47,1.000000
78,61,1.000000
725,994,1.000000
1582,908,1.000000
1481,1385,1.000000
1581,1727,1.000000
1372,1402,1.000000
74,56,1.000000
74,36,1.000000
1580,1702,1.000000
994,725,1.000000
1468,1325,1.000000
1365,1414,1.000000
89,65,1.000000
1479,1388,1.000000
2037,816,1.000000
2035,643,1.000000
2122,1049,1.000000
2035,1750,1.000000
56,74,1.000000
2028,1866,1.000000
290,220,1.000000
83,68,1.000000
83,34,1.000000
1406,1473,1.000000
1431,1537,1.000000
1369,1493,1.000000
908,642,1.000000
1444,1545,1.000000
760,1634,1.000000
1472,1392,1.000000
1485,1340,1.000000
293,242,1.000000
1556,2020,1.000000
1555,1740,1.000000
760,667,1.000000
61,78,1.000000
61,47,1.000000
753,1531,1.000000
1492,1317,1.000000
1980,1902,1.000000
1555,1887,1.000000
1555,879,1.000000
341,219,1.000000
1493,1369,1.000000
1486,1429,1.000000
1403,1472,1.000000
242,293,1.000000
734,640,1.000000
734,880,1.000000
68,34,1.000000
68,83,1.000000
1407,1315,1.000000
67,90,1.000000
1486,1985,1.000000
65,89,1.000000
1495,1349,1.000000
1820,1888,1.000000
1820,1609,1.000000
1841,1735,1.000000
1888,1609,1.000000
1482,1417,1.000000
1398,1525,1.000000
866,381,1.000000
1349,1495,1.000000
1560,1660,1.000000
1963,1898,1.000000
1601,1693,1.000000
1660,1560,1.000000
1898,1963,1.000000
1607,814,1.000000
1693,1601,1.000000
1609,1820,1.000000
814,1607,1.000000
381,866,1.000000
1525,1398,1.000000
1609,1888,1.000000
1735,1841,1.000000
1888,1820,1.000000
1417,1482,1.000000
1312,1462,1.000000
130,150,1.000000
1446,1544,1.000000
1911,1780,1.000000
1316,1521,1.000000
1401,1494,1.000000
1070,1831,1.000000
1988,1773,1.000000
1053,1652,1.000000
1988,1837,1.000000
